"","V1","V2","V3","year","hr","uhr","presc_rate","population","white_pop","black_pop","other_pop","income","rural_urban","deaths"
"284","Clinton County","OH",39027,"2015",47.7874414603842,2.38937207301921,109.1,41852,39705,944,1203,46787,"3",13
"285","Cuyahoga County","OH",39035,"2015",28.9237266189917,4.38238282105934,67,1255025,804104,382436,68485,44190,"1",170
"286","Darke County","OH",39037,"2015",1.91938579654511,0,57.7,52100,50892,318,890,44632,"5",10
"287","Fairfield County","OH",39045,"2015",92.5154963456379,17.1814493213328,80.3,151326,134795,11160,5371,60567,"1",10
"288","Fayette County","OH",39047,"2015",499.197095580535,90.76310828737,106.7,28646,27133,646,867,40503,"3",11
"289","Franklin County","OH",39049,"2015",28.3139068472465,5.35884677617377,80.2,1250269,861980,283989,104300,52341,"1",186
"290","Greene County","OH",39057,"2015",55.4756273013241,12.8020678387671,83.5,164036,142091,11653,10292,60113,"2",31
"291","Hamilton County","OH",39061,"2015",40.9781268415397,7.05665628389052,78.6,807748,553396,212970,41382,49013,"1",223
"292","Lake County","OH",39085,"2015",84.1831616229467,13.5216477218205,80.5,229262,212911,9115,7236,58029,"1",35
"293","Lawrence County","OH",39087,"2015",27.8496772713869,6.55286524032633,92.8,61042,58406,1323,1313,42874,"2",12
"294","Licking County","OH",39089,"2015",4.68496536053737,0.585620670067171,72.2,170759,158476,6504,5779,56549,"1",15
"295","Lorain County","OH",39093,"2015",8.84628112170845,0.655280083089515,79.9,305213,264564,27052,13597,52457,"1",34
"296","Lucas County","OH",39095,"2015",25.8364552383413,3.6909221769059,106.1,433496,325128,86084,22284,41777,"2",69
"297","Mahoning County","OH",39099,"2015",22.0048583275445,5.17761372412811,105.7,231767,187012,37068,7687,41375,"2",17
"298","Marion County","OH",39101,"2015",576.404218788325,110.37527593819,109.2,65232,59184,4239,1809,42966,"3",16
"299","Medina County","OH",39103,"2015",3.96973924484217,1.13421121281205,66.8,176334,169202,2424,4708,66952,"1",17
"300","Montgomery County","OH",39113,"2015",101.962687676248,18.0598118393354,103.5,531567,391959,112901,26707,43829,"2",159
"301","Portage County","OH",39133,"2015",12.9596030658718,3.70274373310623,65.2,162042,148204,7208,6630,52552,"2",25
"302","Preble County","OH",39135,"2015",0,0,61.1,41367,40203,261,903,47818,"4",10
"303","Richland County","OH",39139,"2015",61.6872702149184,11.5149571067848,79.5,121581,106329,11632,3620,41877,"2",27
"304","Ross County","OH",39141,"2015",14.2557217283119,1.29597470257381,106,77162,70109,4565,2488,43345,"3",10
"305","Stark County","OH",39151,"2015",16.0057620743468,3.20115241486935,103.5,374865,331770,29392,13703,47137,"2",26
"306","Summit County","OH",39153,"2015",34.914911068581,7.94360410555018,86.1,541316,430171,80530,30615,50765,"2",120
"307","Trumbull County","OH",39155,"2015",6.875181087359,0.982168726765571,101.8,203631,180846,17395,5390,43073,"2",69
"308","Warren County","OH",39165,"2015",38.7633165358962,7.12888579970504,70.6,224439,201304,7775,15360,74379,"1",30
"309","Wayne County","OH",39169,"2015",243.738588210976,48.2309573845041,64.7,116108,110890,1860,3358,50383,"3",14
"310","Wood County","OH",39173,"2015",29.319630264031,7.715692174745,51.8,129606,121202,3597,4807,53577,"2",15
"311","Cleveland County","OK",40027,"2015",10.2110403226689,3.282120103715,85.7,274213,218557,13584,42072,56452,"1",21
"312","Oklahoma County","OK",40109,"2015",24.6150198015591,3.22186123057057,117.5,775949,551874,123107,100968,47437,"1",36
"313","Tulsa County","OK",40143,"2015",25.36966101748,5.63770244832889,135.8,638558,468654,69109,100795,49759,"2",38
"314","Clackamas County","OR",41005,"2015",15.4555652499065,3.98853296771781,83.1,401150,361748,4182,35220,65965,"1",17
"315","Jackson County","OR",41029,"2015",117.545683591372,29.503498271938,114.4,213534,197692,1847,13995,44028,"2",18
"316","Lane County","OR",41039,"2015",17.6503033645891,4.41257584114727,113.5,362600,326229,4068,32303,44103,"2",19
"317","Marion County","OR",41047,"2015",113.957696236062,21.8216865132885,73.7,329947,295246,4592,30109,48432,"2",17
"318","Multnomah County","OR",41051,"2015",23.0635197212102,5.19562806906384,57.8,789125,633366,45910,109849,54102,"1",58
"319","Washington County","OR",41067,"2015",67.7422790388278,13.0945127008044,55.3,572759,469005,12574,91180,66754,"1",17
"320","Allegheny County","PA",42003,"2015",32.3762017021097,8.78550196941669,79,1229298,992273,164618,72407,53040,"1",207
"321","Beaver County","PA",42007,"2015",8.88057404030597,2.36815307741492,80.3,168908,153739,10711,4458,50581,"1",14
"322","Berks County","PA",42011,"2015",7.95880714363235,0.723527922148396,64,414635,366345,28438,19852,55936,"2",21
"323","Bucks County","PA",42017,"2015",12.4437439077504,2.39302767456738,70.8,626821,559448,25917,41456,77568,"1",10
"324","Butler County","PA",42019,"2015",35.93630156457,5.89998980910851,74.5,186441,179699,2226,4516,60934,"1",37
"325","Cambria County","PA",42021,"2015",20.5589086156512,4.40548041763954,103.9,136194,128472,4720,3002,42107,"2",25
"326","Chester County","PA",42029,"2015",10.0921294975478,1.16447648048629,55,515253,445632,32586,37035,85976,"1",13
"327","Crawford County","PA",42039,"2015",34.6268381079896,10.3880514323969,95.8,86638,83234,1618,1786,44579,"5",12
"328","Cumberland County","PA",42041,"2015",79.1033332927675,15.4150085391034,75.3,246513,221237,9755,15521,61820,"2",21
"329","Dauphin County","PA",42043,"2015",37.009351273708,8.42787207223053,70.9,272904,200039,51344,21521,53754,"2",23
"330","Delaware County","PA",42045,"2015",22.18983492538,4.26044830567296,77.4,563321,398089,120992,44240,65123,"1",35
"331","Erie County","PA",42049,"2015",75.885086242861,14.0261533813819,87.5,278052,244960,21484,11608,45971,"2",25
"332","Fayette County","PA",42051,"2015",106.952671573027,19.4459402860049,134.2,133704,124155,6329,3220,39636,"1",20
"333","Indiana County","PA",42063,"2015",3.44918771629281,1.14972923876427,77,86977,82593,2319,2065,45195,"3",15
"334","Lackawanna County","PA",42069,"2015",8.01225403558383,1.88523624366678,117.3,212175,195607,7065,9503,46271,"2",14
"335","Lancaster County","PA",42071,"2015",23.1192749497063,5.96626450315,60.6,536349,485475,25819,25055,57721,"2",32
"336","Lawrence County","PA",42073,"2015",19.3102821572993,4.54359580171748,102.5,88036,82322,3540,2174,44571,"3",12
"337","Lebanon County","PA",42075,"2015",6.53457151362458,0.726063501513842,63.4,137729,128842,4427,4460,55499,"2",13
"338","Lehigh County","PA",42077,"2015",19.1214126567124,2.7712192256105,51.2,360852,303738,31801,25313,56117,"2",15
"339","Luzerne County","PA",42079,"2015",10.6981485909909,2.20256000402754,92.1,317812,290485,16303,11024,45897,"2",11
"340","Monroe County","PA",42089,"2015",126.126883644947,27.0271893524886,82.8,166499,131918,25333,9248,57365,"2",10
"341","Montgomery County","PA",42091,"2015",66.2297782279991,11.7307356270995,63.4,818363,660954,77374,80035,80675,"1",45
"342","Northampton County","PA",42095,"2015",18.9249311066104,2.32411434642584,72.5,301190,265615,19057,16518,60972,"2",27
"343","Philadelphia County","PA",42101,"2015",24.665104117411,6.38992334647954,75.8,1564964,700572,695227,169165,38253,"1",22
"344","Washington County","PA",42125,"2015",186.298423185511,36.0112931415292,79.8,208268,195755,6647,5866,56450,"1",45
"345","Westmoreland County","PA",42129,"2015",9.78476316679667,3.07521128099324,79.2,357699,339956,8907,8836,52247,"1",10
"346","York County","PA",42133,"2015",19.6864202168222,4.97817522724239,68.1,441929,395979,28819,17131,58269,"2",41
"347","Kent County","RI",44003,"2015",160.978750804894,31.5882831768093,78.5,164618,153551,3095,7972,64383,"1",23
"348","Providence County","RI",44007,"2015",19.2889035048886,4.26885569370486,63.7,632488,500717,74849,56922,49743,"1",119
"349","Washington County","RI",44009,"2015",307.156428119063,59.3730208993034,66.5,126320,118482,1728,6110,72807,"1",11
"350","Aiken County","SC",45003,"2015",3.0100354582177,0.602007091643539,92.7,166111,118492,41855,5764,45759,"2",12
"351","Charleston County","SC",45019,"2015",39.5590958948447,5.90817665961967,84.8,389291,265680,109390,14221,53437,"2",31
"352","Dorchester County","SC",45035,"2015",2.62233177741648,0,102.9,152536,105194,39163,8179,54901,"2",11
"353","Greenville County","SC",45045,"2015",27.1062913090708,3.46471392672334,96.6,490661,377149,90990,22522,50540,"2",28
"354","Horry County","SC",45051,"2015",8.06787340538482,1.29085974486157,121.9,309871,255764,41888,12219,43299,"2",13
"355","Lexington County","SC",45063,"2015",7.1034078599208,0.35517039299604,97.7,281555,226969,42510,12076,53857,"2",13
"356","Richland County","SC",45079,"2015",18.4346748860737,3.44113931206709,70.8,406842,191931,192809,22102,49131,"2",19
"357","Spartanburg County","SC",45083,"2015",19.186234381732,3.36600603188281,116,297088,221450,62187,13451,43907,"2",17
"358","York County","SC",45091,"2015",34.6584548703097,8.76420697869899,79.5,251021,190390,48740,11891,54117,"1",11
"359","Anderson County","TN",47001,"2015",39.6311659489022,5.28415545985363,167.9,75698,69605,3034,3059,42880,"2",10
"360","Blount County","TN",47009,"2015",17.3034874392412,4.71913293797486,102,127142,119577,3804,3761,48286,"2",16
"361","Davidson County","TN",47037,"2015",32.875193676169,4.86493897450035,92.2,678323,442762,190827,44734,48368,"1",49
"362","Hamilton County","TN",47065,"2015",93.6075383762627,16.1197271524078,130.8,353604,267853,69980,15771,48248,"2",29
"363","Knox County","TN",47093,"2015",37.6569408387308,7.08836533434933,108.2,451444,389439,40578,21427,48701,"2",69
"364","Rutherford County","TN",47149,"2015",12.0634133428053,1.67547407538963,101.5,298423,236277,42948,19198,56219,"1",13
"365","Sevier County","TN",47155,"2015",7.3175066118899,2.09071617482569,125.9,95661,91568,1074,3019,42258,"5",13
"366","Shelby County","TN",47157,"2015",16.3438664033132,3.41832499938577,76.5,936131,389530,504703,41898,46224,"1",55
"367","Bexar County","TX",48029,"2015",9.97107859636757,2.26855227324765,57.8,1895482,1610874,158463,126145,51150,"1",88
"368","Collin County","TX",48085,"2015",9.52820073619041,2.19039097383687,57.9,913079,669399,88799,154881,84735,"1",25
"369","Dallas County","TX",48113,"2015",12.2163191955298,2.5139692235174,52.5,2545775,1718903,593102,233770,50270,"1",96
"370","Denton County","TX",48121,"2015",5.26659910005382,0.385360909760036,61.1,778491,612940,75554,89997,75050,"1",21
"371","El Paso County","TX",48141,"2015",16.071327911459,2.51864094134805,37.4,833783,768207,32817,32759,41637,"2",25
"372","Fort Bend County","TX",48157,"2015",3.08188426403903,0.420256945096232,40.9,713849,405638,149850,158361,89152,"1",14
"373","Galveston County","TX",48167,"2015",6.84211508437572,1.24402092443195,78.9,321538,258031,43600,19907,62313,"1",12
"374","Harris County","TX",48201,"2015",8.66910298607583,1.65440896680837,48.3,4533341,3182082,889899,461360,54457,"1",76
"375","Montgomery County","TX",48339,"2015",101.037592695467,17.8959573777948,66.5,536434,480346,25873,30215,68838,"1",12
"376","Nueces County","TX",48355,"2015",11.3851570873991,1.94380730760473,83.4,360118,328075,15789,16254,50337,"2",25
"377","Smith County","TX",48423,"2015",26.5194760830284,7.64120497307599,95.2,222478,173642,39670,9166,46929,"2",15
"378","Tarrant County","TX",48439,"2015",10.0938220761983,2.47298640866857,68.8,1981410,1480184,326019,175207,58711,"1",46
"379","Travis County","TX",48453,"2015",14.044728630307,3.66014140062546,55.5,1174818,946378,104642,123798,61451,"1",20
"380","Davis County","UT",49011,"2015",10.1260394081628,2.68042219627838,68.7,335768,311297,4674,19797,71112,"2",12
